Line;seq;SO;Ext.order;WO;Status;print;obrada;Drawings;Truck;Truck date;CUSTOMER;Customer comment;EAN;DESCRIPTION;DESCRIPTION2;Color;QTY;Reason - comment;Nav Painted;WELDED;SHIPPED;STOCK;REST;TBP;logic palet 1;logic palet 2;logic palet 3;logic palet 4;BIG;EURO;PROGRESS;calc;Rest2;EX.SHIP DATE;Unit price;Rest price
B-LINE;0;SO027919;PO000137;WO075328;Released;1;;Drawing;BE-1510;45945;KENDA België NV;;139968;WB 2.50Ax8 H2 4/60/100 Ø14.5 C60 ET0;Silver RAL9006 KENDA 345@130;RAL9006;500;;0;0;0;0;500;500;1,424501425;;1;0,424501425;1;1;0;500;500;45961;6,28;3140
B-LINE;0;SO027920;PO000138;WO075331;Released;1;;Drawing;BE-1510;45945;KENDA België NV;;139968;WB 2.50Ax8 H2 4/60/100 Ø14.5 C60 ET0;Silver RAL9006 KENDA 345@130;RAL9006;350;;0;0;0;0;350;350;0,997150997;;0;0,997150997;;1;0;350;350;45961;6,28;2198
D-LINE;10;SO027281;PO004916;WO073232;Finished;2;OC;Drawing;GB-1510;45945;KENDA GB Rugeley Ltd;PRIO;613987;WB AG16.00x22.5 H2 5/290/335 Ø21.5 R22.4 ET-20;VG3 Yellow (CP1090 JCB) STARCO 4540@30;RAL1028;80;;64;0;-63;1;17;16;2,125;;2;0,125;2;1;0,8;16;16;#N/A;0;0
B-LINE;0;SO027921;PO000139;WO075336;Released;1;;Drawing;BE-1510;45945;KENDA België NV;;139968;WB 2.50Ax8 H2 4/60/100 Ø14.5 C60 ET0;Silver RAL9006 KENDA 345@130;RAL9006;200;;0;0;0;0;200;200;0,56980057;;0;0,56980057;;1;0;200;200;45961;6,28;1256
B-LINE;0;SO027925;PO000214;WO075345;Released;1;;Drawing;BE-1510;45945;KENDA België NV;;139968;WB 2.50Ax8 H2 4/60/100 Ø14.5 C60 ET0;Silver RAL9006 KENDA 345@130;RAL9006;550;;0;0;0;0;550;550;1,566951567;;1;0,566951567;1;1;0;550;550;45961;6,28;3454
B-LINE;0;SO027925;PO000214;WO075341;Released;1;;Drawing;BE-1510;45945;KENDA België NV;;274515;WB 2.50Ax8 H2 4/67/101.6 Ø11.5 C90 ET0;Silver RAL9006 KENDA 345@140;RAL9006;50;;0;0;0;0;50;50;0,142450142;;0;0,142450142;;1;0;50;50;45961;7;350
B-LINE;0;SO027920;PO000138;WO075332;Released;1;;Drawing;BE-1510;45945;KENDA België NV;;274522;WB 2.50Ax8 H2 4/85/115 Ø12.5 C90 ET0;Silver RAL9006 KENDA 345@140;RAL9006;100;;0;0;0;0;100;100;0,284900285;;0;0,284900285;;1;0;100;100;45961;7;700
B-LINE;0;SO027925;PO000214;WO075343;Released;1;;Drawing;BE-1510;45945;KENDA België NV;;274522;WB 2.50Ax8 H2 4/85/115 Ø12.5 C90 ET0;Silver RAL9006 KENDA 345@140;RAL9006;100;;0;0;0;0;100;100;0,284900285;;0;0,284900285;;1;0;100;100;45961;7;700
B-LINE;0;SO027922;PO000171;WO075337;Released;1;;Drawing;BE-1510;45945;KENDA België NV;;274539;WB 3.50Bx10 H2 4/60/100 Ø14.5 C60 ET0;Silver RAL9006 KENDA 500@140;RAL9006;250;;0;0;0;0;250;250;1,388888889;;1;0,388888889;1;1;0;250;250;45961;8,54;2135
B-LINE;0;SO027923;PO000172;WO075338;Released;1;;Drawing;BE-1510;45945;KENDA België NV;;274539;WB 3.50Bx10 H2 4/60/100 Ø14.5 C60 ET0;Silver RAL9006 KENDA 500@140;RAL9006;450;;0;0;0;0;450;450;2,5;;2;0,5;2;1;0;450;450;45961;8,54;3843
B-LINE;0;SO027924;PO000173;WO075339;Released;1;;Drawing;BE-1510;45945;KENDA België NV;;274539;WB 3.50Bx10 H2 4/60/100 Ø14.5 C60 ET0;Silver RAL9006 KENDA 500@140;RAL9006;700;;0;0;0;0;700;700;3,888888889;;3;0,888888889;3;1;0;700;700;45961;8,54;5978
B-LINE;0;SO027925;PO000214;WO075340;Released;1;;Drawing;BE-1510;45945;KENDA België NV;;274539;WB 3.50Bx10 H2 4/60/100 Ø14.5 C60 ET0;Silver RAL9006 KENDA 500@140;RAL9006;2200;;0;0;0;0;2200;2200;12,22222222;;12;0,222222222;12;1;0;2200;2200;45961;8,54;18788
B-LINE;0;SO027920;PO000138;WO075334;Released;1;;Drawing;BE-1510;45945;KENDA België NV;;274553;WB 3.50Bx10 H2 4/85/115 Ø12.5 C90 ET0;Silver RAL9006 KENDA 450@140;RAL9006;250;;0;0;0;0;250;250;1,388888889;;1;0,388888889;1;1;0;250;250;45961;8,54;2135
E-LINE;0;SO027361;PO004943;WO073438;Released;2;OC;Drawing;GB-0810;45938;KENDA GB Rugeley Ltd;PRIO 0;100630;WB 5.50Ix8 H2 4/67/101.6 Ø12.5 C60 ET0;Silver RAL9006 STARCO 375@100;RAL9006;50;127;0;0;0;0;50;50;0,333333333;;0;0,333333333;;1;0;50;50;45821;14,63;731,5
B-LINE;0;SO027925;PO000214;WO075344;Released;1;;Drawing;BE-1510;45945;KENDA België NV;;274553;WB 3.50Bx10 H2 4/85/115 Ø12.5 C90 ET0;Silver RAL9006 KENDA 450@140;RAL9006;500;;0;0;0;0;500;500;2,777777778;;2;0,777777778;2;1;0;500;500;45961;8,54;4270
E-LINE;0;SO027453;PO004972;WO073655;Released;1;OC;Drawing;GB-1510;45945;KENDA GB Rugeley Ltd;PRIO 0;100630;WB 5.50Ix8 H2 4/67/101.6 Ø12.5 C60 ET0;Silver RAL9006 STARCO 375@100;RAL9006;50;;0;0;0;0;50;50;0,333333333;;0;0,333333333;;1;0;50;50;45898;14,63;731,5
E-LINE;0;SO027281;PO004916;WO073246;Released;1;CO Puncher;Drawing;GB-1510;45945;KENDA GB Rugeley Ltd;PRIO 0;497433;WB 5Jx12 H2 5/94/140 Ø18.5 R14 ET0;VG3 Black RAL9005 STARCO 1000@40;RAL9005 (CP1013);24;;0;0;0;0;24;24;0,3;;0;0,3;;1;0;24;24;45954;25,64;615,36
E-LINE;0;SO027572;PO005012;WO074108;Released;1;CO Puncher;Drawing;GB-1510;45945;KENDA GB Rugeley Ltd;PRIO 0;497433;WB 5Jx12 H2 5/94/140 Ø18.5 R14 ET0;VG3 Black RAL9005 STARCO 1000@40;RAL9005 (CP1013);24;;0;0;0;0;24;24;0,3;;0;0,3;;1;0;24;24;45919;25,64;615,36
