date-time;Work Order;Item no.;No.;Qty;Description;Customer code;Customer
(blank);WO071506;163376;E-LINE;0;WB 10.50Ix12 H2 5/110/145 Ø18.5 R14 ET45;1000404;KENDA Schweiz AG
(blank);WO071507;163154;G-LINE;0;WB 5.5Jx13 H2 5/110/145 Ø18.5 R14 ET35;1000404;KENDA Schweiz AG
(blank);WO071508;383941;E-LINE;0;WB 8.50Ix10 H2 4/85/125 Ø14 ET-20;1000404;KENDA Schweiz AG
(blank);WO071510;102672;E-LINE;0;WB 3.50Bx10 H2 4/60/100 Ø16 C105 ET38;1000404;KENDA Schweiz AG
(blank);WO071511;733975;G-LINE;0;WB 6Jx16 H2 5/94/140 Ø18.5 R14 ET68;1000404;KENDA Schweiz AG
(blank);WO071512;163154;G-LINE;0;WB 5.5Jx13 H2 5/110/145 Ø18.5 R14 ET35;1000404;KENDA Schweiz AG
(blank);WO071513;167008;G-LINE;0;WB 13LBx15 H2 5/94/140 Ø18.5 R14 ET49;1000404;KENDA Schweiz AG
(blank);WO071514;590219;F-LINE;0;WB 13.00x17 H2 6/161/205 Ø21.5 16.0 ET66;1000404;KENDA Schweiz AG
(blank);WO071515;592121;F-LINE;0;WB 13.00x17 8/221/275 Ø27 R18 ET20;1000404;KENDA Schweiz AG
(blank);WO071520;576510;F-LINE;0;WB 16.00x17 H2 6/161/205 Ø21.5 R16 ET60;1000404;KENDA Schweiz AG
(blank);WO071522;102672;E-LINE;0;WB 3.50Bx10 H2 4/60/100 Ø16 C105 ET38;1000404;KENDA Schweiz AG
(blank);WO071525;559025;GS-STEP SPACER;0;DU Spacer Stepped 38/30K-300;;
(blank);WO071525;583747;GS-LINE;0;DU Spacer Stepped 38/30K-300;;
(blank);WO071526;715711;E-LINE;0;WB 7.00Ix8 H2 4/60/100 Ø14.5 C60 ET0;1000103;KENDA GB Rugeley Ltd
(blank);WO071528;675374;ROLLING-LINE;0;DU AW Spacer Standard 15.3-160,0;1000404;KENDA Schweiz AG
(blank);WO071536;672281;A-LINE;0;WI EK 7.00Ix8 H2 30x92/102;1000106;KENDA Deutschland GmbH
(blank);WO071536;672281;C-LINE;0;WI EK 7.00Ix8 H2 30x92/102;1000106;KENDA Deutschland GmbH
(blank);WO071536;672281;E-LINE;0;WI EK 7.00Ix8 H2 30x92/102;1000106;KENDA Deutschland GmbH
(blank);WO071536;672281;GS-MTM;0;WI EK 7.00Ix8 H2 30x92/102;1000106;KENDA Deutschland GmbH
(blank);WO071539;143866;G-LINE;0;WB 13LBx15 H2 5/67/112 Ø18.5 R14 ET-50 Silver;1000106;KENDA Deutschland GmbH
(blank);WO071544;149660;F-LINE;0;WB 16.00x17 H2 6/161/205 Ø21.5 R16 ET0;1000106;KENDA Deutschland GmbH
