MAIN BOM;No.;Description;Quantity per;Link;Draw
102955;61F1500052;"DISC,15""FLAT,8/275/221";1.00;DPC61F1500052;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61F1500052.pdf
102955;CP2010;POWDER RAL7042 GRAY;0.16;;
102993;588940;WD Formed T-mount 15mm  Ø680,0-Ø662,5mm;1.00;61S2800007_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\61S2800007_BM.pdf
102993;607818;Valve guard VG9;1.00;;
102993;616544;RM DWW18Lx30;1.00;;
102993;CP1017;POWDER RAL9001 CREAM;0.65;;
103099;262345;Valve guard VG3;1.00;VG3_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\VG3_BM.pdf
103099;445397;RM W16Lx24;1.00;445397_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\445397_BM.pdf
103099;61S2400062;WD Formed T-mount 12mm  Ø565;1.00;DPC61S2400062;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61S2400062.pdf
103099;CP1067;POWDER RAL9005 BLACK GL 80-90;0.51;;
103112;486314;RM DWW18Lx42;1.00;;
103112;494944;DU Spacer Emc2 42K-335;1.00;62R420008_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\62R420008_BM.pdf
103112;CP1086;POWDER FTX GRIGIO PESCARA (Deutz dark grey);1.14;;
103129;486260;RM DWW23Bx42;1.00;;
103129;494944;DU Spacer Emc2 42K-335;1.00;62R420008_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\62R420008_BM.pdf
103129;CP1086;POWDER FTX GRIGIO PESCARA (Deutz dark grey);1.30;;
103167;559346;"DU Spacer 42,0""/42,0"" x 45mm Standard";1.00;559346_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\559346_BM.pdf
103167;579542;RM W10x42;1.00;;
103167;623368;DU Spacer Standard 42-200;1.00;62R420054_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\62R420054_BM.pdf
103167;CP1056;POWDER RAL2002 VERMILION;0.70;;
103174;564890;RM DW15Lx28;1.00;564890_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\564890_BM.pdf
103174;595290;WD Formed T-mount 12mm  Ø630,0-Ø611,7mm;1.00;61S2600003_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\61S2600003_BM.pdf
103174;607818;Valve guard VG9;1.00;;
103174;CP5001;POWDER JDM F9H YELLOW;0.52;;
103181;491028;RM DWW20Bx38;1.00;;
103181;600109;WD Formed T-mount 15mm  Ø880,0-Ø865,7mm;1.00;61S3600023_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\61S3600023_BM.pdf
103181;607818;Valve guard VG9;1.00;;
103181;CP5001;POWDER JDM F9H YELLOW;0.97;;
103228;262338;Valve guard VG2;1.00;VG2_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\VG2_BM.pdf
103228;60090153S07;RIM 9,00X15,3 H2 (4,5MM);1.00;60090153S07-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60090153S07-2.pdf
103228;61P1500164;"15"" SQUARE DISC 5/140/94";1.00;DPC61P1500164;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P1500164.pdf
103228;CP1057;POWDER RAL9003 WHITE SIGNAL;0.17;;
103662;104959;Precision B/Bearing 61805 2RS-25,0x37,0x7,0;2.00;;
103662;CP1088;POWDER GREY MET 9006 RESIST;0.02;;
103662;DT0107;DISTANCE TUBE fi 30/26X61,0;1.00;DT0107;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DT0107.pdf
103662;HT10167;HUB TUBE t41,3/35,3X75,0;1.00;HT10167;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\HT10167.pdf
103662;ST1002;COIL C.R. 1,0X216 mm   EN10131 P&O;0.37;;
103907;62R420046;"42"" GS RING";1.00;;
103907;CP1064;POWDER RAL3020 RED;0.30;;
103907;ST2012;STEEL STRIP 30x20x4000 DD11;0.60;;
104096;489735;RM DWW16Lx38;1.00;;
104096;503615;WD Formed T-mount 12mm  Ø880,0-Ø865,7mm;1.00;503615_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\503615_BM.pdf
104096;607818;Valve guard VG9;1.00;;
104096;CP2009;POWDER RAL1018 YELLOW;0.81;;
104102;600895;RM W15Lx24;1.00;600895_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\600895_BM.pdf
104102;607818;Valve guard VG9;1.00;;
